time,plate,type
2026-03-17 16:50:21,`9,Motorcycle
2026-03-17 16:50:23,",ง",Motorcycle
2026-03-17 16:50:23,_399,Motorcycle
2026-03-17 16:50:24,1`,Motorcycle
2026-03-17 16:50:25,1.`,Motorcycle
2026-03-17 16:50:25,1ข299,Motorcycle
2026-03-17 16:50:26,1ขา,Motorcycle
2026-03-17 16:50:27,1ข29,Motorcycle
2026-03-17 16:50:53,1iจ,Motorcycle
2026-03-17 16:50:54,1.),Motorcycle
2026-03-17 16:50:55,1ช.,Motorcycle
2026-03-17 16:50:56,1ขจ2999,Motorcycle
2026-03-17 16:51:18,"1""2999",Motorcycle
2026-03-17 16:51:19,1ข2999,Motorcycle
2026-03-17 16:51:21,1ข`2999,Motorcycle
2026-03-17 16:51:22,12999,Motorcycle
2026-03-17 16:51:23,1ขา2999,Motorcycle
2026-03-17 16:51:25,1ขง2999,Motorcycle
2026-03-17 16:51:26,1ขจ2993,Motorcycle
2026-03-17 16:51:27,1ชจ29#3,Motorcycle
2026-03-17 16:51:31,1ชจ2992,Motorcycle
2026-03-17 16:51:32,1ชจ2999,Motorcycle
2026-03-17 16:51:33,1จ2999`,Motorcycle
2026-03-17 16:51:34,1ขจ2999`,Motorcycle
2026-03-17 16:51:36,1ชจ2999`,Motorcycle
2026-03-17 16:51:39,1ยจ2999`,Motorcycle
2026-03-17 16:52:03,1ชจ,Motorcycle
2026-03-17 16:52:05,เชา,Motorcycle
2026-03-17 16:52:06,li,Motorcycle
2026-03-17 16:52:07,1ฯ,Motorcycle
2026-03-17 16:52:18,เอุเทเพมพานร,Motorcycle
2026-03-17 16:52:18,อรุเมาพมหานาี์,Motorcycle
2026-03-17 16:52:19,)กเมทเมหาน,Motorcycle
2026-03-17 16:54:06,ti,Motorcycle
2026-03-17 16:56:12,s๔,Motorcycle
2026-03-17 16:56:14,ต,Motorcycle
2026-03-17 17:41:53,a,Vehicle
2026-03-17 17:41:53,+,Vehicle
2026-03-17 17:44:31,"`999"" น",Vehicle
2026-03-17 17:44:31,"`999"" น",Vehicle
2026-03-17 17:44:32,1ขจ 2999 กรุงทหมหานคร,Vehicle
2026-03-17 17:44:33,1ขจ 2999 กรุงทหมหานคร,Vehicle
2026-03-17 17:44:33,1ขจ 2999  กรุงเทพมหานคร,Vehicle
2026-03-17 17:51:54,1ขจ 2999 กรุงเทพมหานคร,รถยนต์
2026-03-17 17:51:58,1ขจ 2999  กรุงเทพมหานคร,รถยนต์
2026-03-17 17:52:01,1ขจ 2999  กรุงเทพมหานคร,รถยนต์
2026-03-17 17:52:05,1ขจ 2999 กร้แเทพมทานคร,รถยนต์
2026-03-17 17:52:08,1ขจ 2999` กรุงเทพมหานคร,รถยนต์
2026-03-17 17:52:11,1ขจ 2999 กรุงเทพมหาบคร,รถยนต์
2026-03-17 17:52:48,..,ไม่ระบุ
2026-03-17 17:52:53,1ขจ 2999 กรุงเทพมหานคร,รถยนต์
2026-03-17 17:52:56,1ขจ 2999 กรงเทพมหานคร,รถยนต์
2026-03-17 17:52:59,1ขจ 2999 กรุงเทหมทา_คร,รถยนต์
2026-03-17 17:53:02,1ขจ 2999 กรุงเทพมหานคร,รถยนต์
2026-03-17 17:53:05,1ขจ 2999 กรุงเทพมหานคร,รถยนต์
2026-03-17 17:53:08,1ขจ 2999  กรุงเทพมหาบคร,รถยนต์
2026-03-17 17:53:11,1ขจ 2999 กรุงเทพมหานคร,รถยนต์
2026-03-17 17:53:14,1ขจ 2999 กรุงเทพมหานคร,รถยนต์
2026-03-17 17:53:17,1ขจ 2999 กรุงเทพมหาบคร,รถยนต์
2026-03-17 17:53:19,1ขจ 2999 กรุงเทพมทานคร,รถยนต์
2026-03-17 17:53:22,1ขจ 2999 กรุงเทพมหาบคร,รถยนต์
2026-03-17 17:53:25,1ขจ 2999 กรุงเทพมหาบคร,รถยนต์
2026-03-17 17:53:28,1ขจ 2999 กรุงเทพมหานคร,รถยนต์
2026-03-17 17:53:31,1ขจ 2999,รถยนต์
2026-03-17 17:53:34,1ขจ กรุงเทพมหานคร 2999,ไม่ระบุ
2026-03-17 17:53:37,1ขจ 2999 กรุงเทพมหานคร,รถยนต์
2026-03-17 17:54:51,1ขจ 2999,รถยนต์
2026-03-17 17:54:54,1ขจ 2999  กรุงเทพมหานคร,รถยนต์
2026-03-17 17:54:57,1ขจ 2999 กรุงเทพมหาบคร,รถยนต์
2026-03-17 17:55:01,1ขจ 2999 กรุงเทพมหานคร,รถยนต์
2026-03-17 17:59:18,1ขจ 2999 กรงเทพมหานคร,รถยนต์
